Date,Open,High,Low,Close,Adj Close,Volume
2011-01-24,3.250000,3.420000,3.250000,3.310000,2.409678,6121476
2011-01-25,3.350000,3.379000,3.185000,3.210000,2.336878,8419461
2011-01-26,3.210000,3.250000,3.163000,3.174000,2.310670,10966562
2011-01-27,3.200000,3.242000,3.130000,3.130000,2.278638,20280100
2011-01-28,3.100000,3.127000,3.030000,3.040000,2.213118,33814173
2011-01-31,3.000000,3.031000,2.910000,3.000000,2.183998,6031079
2011-02-01,3.020000,3.105000,3.001000,3.035000,2.209478,13601617
2011-02-02,3.150000,3.150000,2.930000,3.026000,2.202926,18260026
2011-02-03,3.090000,3.090000,2.965000,3.078000,2.240782,11012970
2011-02-04,3.077000,3.107000,3.021000,3.060000,2.227678,23457142
2011-02-07,3.105000,3.220000,3.070000,3.220000,2.344158,18549032
2011-02-08,3.180000,3.210000,3.133000,3.150000,2.293198,13163035
2011-02-09,3.162000,3.170000,3.042000,3.045000,2.216758,8300719
2011-02-10,3.000000,3.000000,2.860000,2.965000,2.158518,7246985
2011-02-11,2.975000,2.980000,2.891000,2.928000,2.131582,14226967
2011-02-14,2.992000,2.992000,2.883000,2.909000,2.117750,5324968
2011-02-15,2.910000,2.960000,2.870000,2.960000,2.154878,2958552
2011-02-16,2.985000,3.030000,2.964000,3.030000,2.205838,6513305
2011-02-17,3.018000,3.034000,2.967000,2.979000,2.168710,3601088
2011-02-18,2.970000,3.009000,2.935000,2.937000,2.138134,1571731
2011-02-21,2.969000,2.969000,2.850000,2.858000,2.080622,8766842
2011-02-22,2.810000,2.834000,2.719000,2.811000,2.046406,6308118
2011-02-23,2.760000,2.810000,2.735000,2.752000,2.003454,2671919
2011-02-24,2.712000,2.715000,2.622000,2.647000,1.927014,5335353
2011-02-25,2.641000,2.727000,2.623000,2.623000,1.909542,26600152
2011-02-28,2.670000,2.671000,2.610000,2.638000,1.920462,5445369
2011-03-01,2.650000,2.724000,2.611000,2.649000,1.928470,3103535
2011-03-02,2.630000,2.699000,2.583000,2.664000,1.939390,4473239
2011-03-03,2.700000,2.744000,2.675000,2.707000,1.970694,2267608
2011-03-04,2.680000,2.750000,2.621000,2.621000,1.908086,1968742
2011-03-07,2.646000,2.710000,2.611000,2.659000,1.935750,1538654
2011-03-08,2.710000,2.710000,2.636000,2.650000,1.929198,2179927
2011-03-09,2.700000,2.771000,2.693000,2.732000,1.988894,4539366
2011-03-10,2.729000,2.729000,2.670000,2.704000,1.968510,3239442
2011-03-11,2.700000,2.720000,2.650000,2.720000,1.980158,1403212
2011-03-14,2.662000,2.720000,2.659000,2.680000,1.951038,1649062
2011-03-15,2.620000,2.630000,2.530000,2.560000,1.863679,3238987
2011-03-16,2.590000,2.592000,2.432000,2.460000,1.790878,2284980
2011-03-17,2.480000,2.527000,2.442000,2.527000,1.839654,1585636
2011-03-18,2.530000,2.575000,2.450000,2.450000,1.783598,4944595
2011-03-21,2.495000,2.560000,2.493000,2.555000,1.860038,2057161
2011-03-22,2.580000,2.590000,2.533000,2.560000,1.863679,2852139
2011-03-23,2.535000,2.547000,2.482000,2.499000,1.819270,2557586
